seeking_computing_required,seeking_computing_skills,seeking_computing_career_advance,seeking_computing_career_change,seeking_computing_develop,seeking_computing_job,seeking_computing_relocation,seeking_computing_certification,seeking_comuputing_financial,seeking_computing_personal,seeking_computing_curiosity,gender,course,degree,interest,age,decision_cost,decision_location,decision_programs,decision_online,decision_referral,decision_faculty,decision_reputation,decision_scholarships,decision_transfer,decision_class,decision_extracurricular,website,billboard,tv,socials,radio,community,family,employer,attendee,alumni,high_school
Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Woman,CMP 135 Computer Concepts with Applications,Radiography,2,21-24,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes
Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Woman,CMP 135 Computer Concepts with Applications,Radiography,2,21-24,,High Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No
Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Woman,CMP 135 Computer Concepts with Applications,Radiography,4,18 and younger,High Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes
Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Woman,CMP 135 Computer Concepts with Applications,Radiography,1,18 and younger,High Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes
Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Man,CMP 101 Computer Information Literacy,Liberal Arts,3,35-64,High Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,No,No,No,No,No,No,Yes,Yes,No,No,No
No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Woman,CMP 101 Computer Information Literacy,"Nursing, but not at CCM - I am a visiting student ",1,21-24,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Man,CMP 135 Computer Concepts with Applications,Radiography,1,19-20,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes
Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Man,CMP 135 Computer Concepts with Applications,Radiography,3,21-24,Some Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes
Yes,No,No,No,No,No,No,No,No,No,No,Man,CMP 135 Computer Concepts with Applications,Liberal Arts,1,19-20,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes
No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Woman,CMP 135 Computer Concepts with Applications,Psychology,3,19-20,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes
Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Woman,CMP 135 Computer Concepts with Applications,Radiography,2,19-20,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes
Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Woman,CMP 135 Computer Concepts with Applications,Nursing,5,21-24,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes
Yes,Yes,No,No,Yes,No,No,No,No,No,No,Woman,CMP 135 Computer Concepts with Applications,Radiography,5,18 and younger,Some Impact,High Impact,High Impact,No Impact,High Impact,,Some Impact,,,Some Impact,No Impact,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes
Yes,No,No,No,Yes,No,No,No,No,No,Yes,Woman,CMP 135 Computer Concepts with Applications,Criminal Justice,1,19-20,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,No Impact,High Impact,High Impact,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes
Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Woman,CMP 135 Computer Concepts with Applications,Not in a degree program,1,18 and younger,Some Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,No,Yes
Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Woman,CMP 135 Computer Concepts with Applications,Radiography,5,25-34,No Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,,Yes,No,No,No,No,No,No,No,No,No,No
Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Woman,CMP 135 Computer Concepts with Applications,Exercise Science,3,21-24,High Impact,High Impact,High Impact,High Impact,,,High Impact,High Impact,,High Impact,,No,No,No,No,No,No,Yes,No,No,No,No
Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Woman,CMP 135 Computer Concepts with Applications,Exercise Science,3,21-24,High Impact,High Impact,High Impact,High Impact,High Impact,,,No Impact,High Impact,Some Impact,Some Impact,No,No,No,No,No,No,Yes,No,Yes,No,No
Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Man,CMP 101 Computer Information Literacy,Criminal Justice,3,19-20,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
